movie_id,title,release_date,genres,train_id
1,Toy Story (1995),01-Jan-1995,Animation|Children's|Comedy,0
2,GoldenEye (1995),01-Jan-1995,Action|Adventure|Thriller,1
3,Four Rooms (1995),01-Jan-1995,Thriller,2
4,Get Shorty (1995),01-Jan-1995,Action|Comedy|Drama,3
5,Copycat (1995),01-Jan-1995,Crime|Drama|Thriller,4
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),01-Jan-1995,Drama,5
7,Twelve Monkeys (1995),01-Jan-1995,Drama|Sci-Fi,6
8,Babe (1995),01-Jan-1995,Children's|Comedy|Drama,7
9,Dead Man Walking (1995),01-Jan-1995,Drama,8
10,Richard III (1995),22-Jan-1996,Drama|War,9
11,Seven (Se7en) (1995),01-Jan-1995,Crime|Thriller,10
12,"Usual Suspects, The (1995)",14-Aug-1995,Crime|Thriller,11
13,Mighty Aphrodite (1995),30-Oct-1995,Comedy,12
14,"Postino, Il (1994)",01-Jan-1994,Drama|Romance,13
15,Mr. Holland's Opus (1995),29-Jan-1996,Drama,14
16,French Twist (Gazon maudit) (1995),01-Jan-1995,Comedy|Romance,15
17,From Dusk Till Dawn (1996),05-Feb-1996,Action|Comedy|Crime|Horror|Thriller,16
18,"White Balloon, The (1995)",01-Jan-1995,Drama,17
19,Antonia's Line (1995),01-Jan-1995,Drama,18
20,Angels and Insects (1995),01-Jan-1995,Drama|Romance,19
21,Muppet Treasure Island (1996),16-Feb-1996,Action|Adventure|Comedy|Musical|Thriller,20
22,Braveheart (1995),16-Feb-1996,Action|Drama|War,21
23,Taxi Driver (1976),16-Feb-1996,Drama|Thriller,22
24,Rumble in the Bronx (1995),23-Feb-1996,Action|Adventure|Crime,23
25,"Birdcage, The (1996)",08-Mar-1996,Comedy,24
26,"Brothers McMullen, The (1995)",01-Jan-1995,Comedy,25
27,Bad Boys (1995),01-Jan-1995,Action,26
28,Apollo 13 (1995),01-Jan-1995,Action|Drama|Thriller,27
29,Batman Forever (1995),01-Jan-1995,Action|Adventure|Comedy|Crime,28
30,Belle de jour (1967),01-Jan-1967,Drama,29
31,Crimson Tide (1995),01-Jan-1995,Drama|Thriller|War,30
32,Crumb (1994),01-Jan-1994,Documentary,31
33,Desperado (1995),01-Jan-1995,Action|Romance|Thriller,32
34,"Doom Generation, The (1995)",01-Jan-1995,Comedy|Drama,33
35,Free Willy 2: The Adventure Home (1995),01-Jan-1995,Adventure|Children's|Drama,34
36,Mad Love (1995),01-Jan-1995,Drama|Romance,35
37,Nadja (1994),01-Jan-1994,Drama,36
38,"Net, The (1995)",01-Jan-1995,Sci-Fi|Thriller,37
39,Strange Days (1995),01-Jan-1995,Action|Crime|Sci-Fi,38
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",01-Jan-1995,Comedy,39
41,Billy Madison (1995),01-Jan-1995,Comedy,40
42,Clerks (1994),01-Jan-1994,Comedy,41
43,Disclosure (1994),01-Jan-1994,Drama|Thriller,42
44,Dolores Claiborne (1994),01-Jan-1994,Drama|Thriller,43
45,Eat Drink Man Woman (1994),01-Jan-1994,Comedy|Drama,44
46,Exotica (1994),01-Jan-1994,Drama,45
47,Ed Wood (1994),01-Jan-1994,Comedy|Drama,46
48,Hoop Dreams (1994),01-Jan-1994,Documentary,47
49,I.Q. (1994),01-Jan-1994,Comedy|Romance,48
50,Star Wars (1977),01-Jan-1977,Action|Adventure|Romance|Sci-Fi|War,49
51,Legends of the Fall (1994),01-Jan-1994,Drama|Romance|War|Western,50
52,"Madness of King George, The (1994)",01-Jan-1994,Drama,51
53,Natural Born Killers (1994),01-Jan-1994,Action|Thriller,52
54,Outbreak (1995),01-Jan-1995,Action|Drama|Thriller,53
55,"Professional, The (1994)",01-Jan-1994,Crime|Drama|Romance|Thriller,54
56,Pulp Fiction (1994),01-Jan-1994,Crime|Drama,55
57,Priest (1994),01-Jan-1994,Drama,56
58,Quiz Show (1994),01-Jan-1994,Drama,57
59,Three Colors: Red (1994),01-Jan-1994,Drama,58
60,Three Colors: Blue (1993),01-Jan-1993,Drama,59
61,Three Colors: White (1994),01-Jan-1994,Drama,60
62,Stargate (1994),01-Jan-1994,Action|Adventure|Sci-Fi,61
63,"Santa Clause, The (1994)",01-Jan-1994,Children's|Comedy,62
64,"Shawshank Redemption, The (1994)",01-Jan-1994,Drama,63
65,What's Eating Gilbert Grape (1993),01-Jan-1993,Comedy|Drama,64
66,While You Were Sleeping (1995),01-Jan-1995,Comedy|Romance,65
67,Ace Ventura: Pet Detective (1994),01-Jan-1994,Comedy,66
68,"Crow, The (1994)",01-Jan-1994,Action|Romance|Thriller,67
69,Forrest Gump (1994),01-Jan-1994,Comedy|Romance|War,68
70,Four Weddings and a Funeral (1994),01-Jan-1994,Comedy|Romance,69
71,"Lion King, The (1994)",01-Jan-1994,Animation|Children's|Musical,70
72,"Mask, The (1994)",01-Jan-1994,Comedy|Crime|Fantasy,71
73,Maverick (1994),01-Jan-1994,Action|Comedy|Western,72
74,Faster Pussycat! Kill! Kill! (1965),01-Jan-1965,Action|Comedy|Drama,73
75,Brother Minister: The Assassination of Malcolm X (1994),01-Jan-1994,Documentary,74
76,Carlito's Way (1993),01-Jan-1993,Crime|Drama,75
77,"Firm, The (1993)",01-Jan-1993,Drama|Thriller,76
78,Free Willy (1993),01-Jan-1993,Adventure|Children's|Drama,77
79,"Fugitive, The (1993)",01-Jan-1993,Action|Thriller,78
80,Hot Shots! Part Deux (1993),01-Jan-1993,Action|Comedy|War,79
81,"Hudsucker Proxy, The (1994)",01-Jan-1994,Comedy|Romance,80
82,Jurassic Park (1993),01-Jan-1993,Action|Adventure|Sci-Fi,81
83,Much Ado About Nothing (1993),01-Jan-1993,Comedy|Romance,82
84,Robert A. Heinlein's The Puppet Masters (1994),01-Jan-1994,Horror|Sci-Fi,83
85,"Ref, The (1994)",01-Jan-1994,Comedy,84
86,"Remains of the Day, The (1993)",01-Jan-1993,Drama,85
87,Searching for Bobby Fischer (1993),01-Jan-1993,Drama,86
88,Sleepless in Seattle (1993),01-Jan-1993,Comedy|Romance,87
89,Blade Runner (1982),01-Jan-1982,Film-Noir|Sci-Fi,88
90,So I Married an Axe Murderer (1993),01-Jan-1993,Comedy|Romance|Thriller,89
91,"Nightmare Before Christmas, The (1993)",01-Jan-1993,Children's|Comedy|Musical,90
92,True Romance (1993),01-Jan-1993,Action|Crime|Romance,91
93,Welcome to the Dollhouse (1995),24-May-1996,Comedy|Drama,92
94,Home Alone (1990),01-Jan-1990,Children's|Comedy,93
95,Aladdin (1992),01-Jan-1992,Animation|Children's|Comedy|Musical,94
96,Terminator 2: Judgment Day (1991),01-Jan-1991,Action|Sci-Fi|Thriller,95
97,Dances with Wolves (1990),01-Jan-1990,Adventure|Drama|Western,96
98,"Silence of the Lambs, The (1991)",01-Jan-1991,Drama|Thriller,97
99,Snow White and the Seven Dwarfs (1937),01-Jan-1937,Animation|Children's|Musical,98
100,Fargo (1996),14-Feb-1997,Crime|Drama|Thriller,99
101,Heavy Metal (1981),08-Mar-1981,Action|Adventure|Animation|Horror|Sci-Fi,100
102,"Aristocats, The (1970)",01-Jan-1970,Animation|Children's,101
103,All Dogs Go to Heaven 2 (1996),29-Mar-1996,Animation|Children's|Musical,102
104,Theodore Rex (1995),29-Mar-1996,Comedy,103
105,Sgt. Bilko (1996),29-Mar-1996,Comedy,104
106,Diabolique (1996),01-Jan-1996,Drama|Thriller,105
107,Moll Flanders (1996),14-Jun-1996,Drama,106
108,Kids in the Hall: Brain Candy (1996),12-Apr-1996,Comedy,107
109,Mystery Science Theater 3000: The Movie (1996),19-Apr-1996,Comedy|Sci-Fi,108
110,Operation Dumbo Drop (1995),01-Jan-1995,Action|Adventure|Comedy|War,109
111,"Truth About Cats & Dogs, The (1996)",26-Apr-1996,Comedy|Romance,110
112,Flipper (1996),10-May-1996,Adventure|Children's,111
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",19-Apr-1996,Drama,112
114,Wallace & Gromit: The Best of Aardman Animation (1996),05-Apr-1996,Animation,113
115,"Haunted World of Edward D. Wood Jr., The (1995)",26-Apr-1996,Documentary,114
116,Cold Comfort Farm (1995),23-Apr-1996,Comedy,115
117,"Rock, The (1996)",07-Jun-1996,Action|Adventure|Thriller,116
118,Twister (1996),10-May-1996,Action|Adventure|Thriller,117
119,Maya Lin: A Strong Clear Vision (1994),01-Jan-1994,Documentary,118
120,Striptease (1996),28-Jun-1996,Comedy|Crime,119
121,Independence Day (ID4) (1996),03-Jul-1996,Action|Sci-Fi|War,120
122,"Cable Guy, The (1996)",14-Jun-1996,Comedy,121
123,"Frighteners, The (1996)",19-Jul-1996,Comedy|Horror,122
124,Lone Star (1996),21-Jun-1996,Drama|Mystery,123
125,Phenomenon (1996),29-Jun-1996,Drama|Romance,124
126,"Spitfire Grill, The (1996)",06-Sep-1996,Drama,125
127,"Godfather, The (1972)",01-Jan-1972,Action|Crime|Drama,126
128,Supercop (1992),26-Jul-1996,Action|Thriller,127
129,Bound (1996),04-Oct-1996,Crime|Drama|Romance|Thriller,128
130,Kansas City (1996),16-Aug-1996,Crime,129
131,Breakfast at Tiffany's (1961),01-Jan-1961,Drama|Romance,130
132,"Wizard of Oz, The (1939)",01-Jan-1939,Adventure|Children's|Drama|Musical,131
133,Gone with the Wind (1939),01-Jan-1939,Drama|Romance|War,132
134,Citizen Kane (1941),01-Jan-1941,Drama,133
135,2001: A Space Odyssey (1968),01-Jan-1968,Drama|Mystery|Sci-Fi|Thriller,134
136,Mr. Smith Goes to Washington (1939),01-Jan-1939,Drama,135
137,Big Night (1996),20-Sep-1996,Drama,136
138,D3: The Mighty Ducks (1996),04-Oct-1996,Children's|Comedy,137
139,"Love Bug, The (1969)",01-Jan-1969,Children's|Comedy,138
140,Homeward Bound: The Incredible Journey (1993),01-Jan-1993,Adventure|Children's,139
141,"20,000 Leagues Under the Sea (1954)",01-Jan-1954,Adventure|Children's|Fantasy|Sci-Fi,140
142,Bedknobs and Broomsticks (1971),01-Jan-1971,Adventure|Children's|Musical,141
143,"Sound of Music, The (1965)",01-Jan-1965,Musical,142
144,Die Hard (1988),01-Jan-1988,Action|Thriller,143
145,"Lawnmower Man, The (1992)",01-Jan-1992,Action|Sci-Fi|Thriller,144
146,Unhook the Stars (1996),30-Oct-1996,Drama,145
147,"Long Kiss Goodnight, The (1996)",05-Oct-1996,Action|Thriller,146
148,"Ghost and the Darkness, The (1996)",11-Oct-1996,Action|Adventure,147
149,Jude (1996),01-Nov-1996,Drama,148
150,Swingers (1996),18-Oct-1996,Comedy|Drama,149
151,Willy Wonka and the Chocolate Factory (1971),01-Jan-1971,Adventure|Children's|Comedy,150
152,Sleeper (1973),01-Jan-1973,Comedy|Sci-Fi,151
153,"Fish Called Wanda, A (1988)",01-Jan-1988,Comedy,152
154,Monty Python's Life of Brian (1979),01-Jan-1979,Comedy,153
155,Dirty Dancing (1987),01-Jan-1987,Musical|Romance,154
156,Reservoir Dogs (1992),01-Jan-1992,Crime|Thriller,155
157,Platoon (1986),01-Jan-1986,Drama|War,156
158,Weekend at Bernie's (1989),01-Jan-1989,Comedy,157
159,Basic Instinct (1992),01-Jan-1992,Mystery|Thriller,158
160,Glengarry Glen Ross (1992),01-Jan-1992,Drama,159
161,Top Gun (1986),01-Jan-1986,Action|Romance,160
162,On Golden Pond (1981),01-Jan-1981,Drama,161
163,"Return of the Pink Panther, The (1974)",01-Jan-1974,Comedy,162
164,"Abyss, The (1989)",01-Jan-1989,Action|Adventure|Sci-Fi|Thriller,163
165,Jean de Florette (1986),01-Jan-1986,Drama,164
166,Manon of the Spring (Manon des sources) (1986),01-Jan-1986,Drama,165
167,Private Benjamin (1980),01-Jan-1980,Comedy,166
168,Monty Python and the Holy Grail (1974),01-Jan-1974,Comedy,167
169,"Wrong Trousers, The (1993)",01-Jan-1993,Animation|Comedy,168
170,Cinema Paradiso (1988),01-Jan-1988,Comedy|Drama|Romance,169
171,Delicatessen (1991),01-Jan-1991,Comedy|Sci-Fi,170
172,"Empire Strikes Back, The (1980)",01-Jan-1980,Action|Adventure|Drama|Romance|Sci-Fi|War,171
173,"Princess Bride, The (1987)",01-Jan-1987,Action|Adventure|Comedy|Romance,172
174,Raiders of the Lost Ark (1981),01-Jan-1981,Action|Adventure,173
175,Brazil (1985),01-Jan-1985,Sci-Fi,174
176,Aliens (1986),01-Jan-1986,Action|Sci-Fi|Thriller|War,175
177,"Good, The Bad and The Ugly, The (1966)",01-Jan-1966,Action|Western,176
178,12 Angry Men (1957),01-Jan-1957,Drama,177
179,"Clockwork Orange, A (1971)",01-Jan-1971,Sci-Fi,178
180,Apocalypse Now (1979),01-Jan-1979,Drama|War,179
181,Return of the Jedi (1983),14-Mar-1997,Action|Adventure|Romance|Sci-Fi|War,180
182,GoodFellas (1990),01-Jan-1990,Crime|Drama,181
183,Alien (1979),01-Jan-1979,Action|Horror|Sci-Fi|Thriller,182
184,Army of Darkness (1993),01-Jan-1993,Action|Adventure|Comedy|Horror|Sci-Fi,183
185,Psycho (1960),01-Jan-1960,Horror|Romance|Thriller,184
186,"Blues Brothers, The (1980)",01-Jan-1980,Action|Comedy|Musical,185
187,"Godfather: Part II, The (1974)",01-Jan-1974,Action|Crime|Drama,186
188,Full Metal Jacket (1987),01-Jan-1987,Action|Drama|War,187
189,"Grand Day Out, A (1992)",01-Jan-1992,Animation|Comedy,188
190,Henry V (1989),01-Jan-1989,Drama|War,189
191,Amadeus (1984),01-Jan-1984,Drama|Mystery,190
192,Raging Bull (1980),01-Jan-1980,Drama,191
193,"Right Stuff, The (1983)",01-Jan-1983,Drama,192
194,"Sting, The (1973)",01-Jan-1973,Comedy|Crime,193
195,"Terminator, The (1984)",01-Jan-1984,Action|Sci-Fi|Thriller,194
196,Dead Poets Society (1989),01-Jan-1989,Drama,195
197,"Graduate, The (1967)",01-Jan-1967,Drama|Romance,196
198,Nikita (La Femme Nikita) (1990),01-Jan-1990,Thriller,197
199,"Bridge on the River Kwai, The (1957)",01-Jan-1957,Drama|War,198
200,"Shining, The (1980)",01-Jan-1980,Horror,199
201,Evil Dead II (1987),01-Jan-1987,Action|Adventure|Comedy|Horror,200
202,Groundhog Day (1993),01-Jan-1993,Comedy|Romance,201
203,Unforgiven (1992),01-Jan-1992,Western,202
204,Back to the Future (1985),01-Jan-1985,Comedy|Sci-Fi,203
205,Patton (1970),01-Jan-1970,Drama|War,204
206,Akira (1988),01-Jan-1988,Adventure|Animation|Sci-Fi|Thriller,205
207,Cyrano de Bergerac (1990),01-Jan-1990,Action|Drama|Romance,206
208,Young Frankenstein (1974),01-Jan-1974,Comedy|Horror,207
209,This Is Spinal Tap (1984),01-Jan-1984,Comedy|Drama|Musical,208
210,Indiana Jones and the Last Crusade (1989),01-Jan-1989,Action|Adventure,209
211,M*A*S*H (1970),01-Jan-1970,Comedy|War,210
212,"Unbearable Lightness of Being, The (1988)",01-Jan-1988,Drama,211
213,"Room with a View, A (1986)",01-Jan-1986,Drama|Romance,212
214,Pink Floyd - The Wall (1982),01-Jan-1982,Drama|Musical|War,213
215,Field of Dreams (1989),01-Jan-1989,Drama,214
216,When Harry Met Sally... (1989),01-Jan-1989,Comedy|Romance,215
217,Bram Stoker's Dracula (1992),01-Jan-1992,Horror|Romance,216
218,Cape Fear (1991),01-Jan-1991,Thriller,217
219,"Nightmare on Elm Street, A (1984)",01-Jan-1984,Horror,218
220,"Mirror Has Two Faces, The (1996)",15-Nov-1996,Comedy|Romance,219
221,Breaking the Waves (1996),15-Nov-1996,Drama,220
222,Star Trek: First Contact (1996),22-Nov-1996,Action|Adventure|Sci-Fi,221
223,Sling Blade (1996),22-Nov-1996,Drama|Thriller,222
224,Ridicule (1996),27-Nov-1996,Drama,223
225,101 Dalmatians (1996),27-Nov-1996,Children's|Comedy,224
226,Die Hard 2 (1990),01-Jan-1990,Action|Thriller,225
227,Star Trek VI: The Undiscovered Country (1991),01-Jan-1991,Action|Adventure|Sci-Fi,226
228,Star Trek: The Wrath of Khan (1982),01-Jan-1982,Action|Adventure|Sci-Fi,227
229,Star Trek III: The Search for Spock (1984),01-Jan-1984,Action|Adventure|Sci-Fi,228
230,Star Trek IV: The Voyage Home (1986),01-Jan-1986,Action|Adventure|Sci-Fi,229
231,Batman Returns (1992),01-Jan-1992,Action|Adventure|Comedy|Crime,230
232,Young Guns (1988),01-Jan-1988,Action|Comedy|Western,231
233,Under Siege (1992),01-Jan-1992,Action,232
234,Jaws (1975),01-Jan-1975,Action|Horror,233
235,Mars Attacks! (1996),13-Dec-1996,Action|Comedy|Sci-Fi|War,234
236,Citizen Ruth (1996),13-Dec-1996,Comedy|Drama,235
237,Jerry Maguire (1996),13-Dec-1996,Drama|Romance,236
238,Raising Arizona (1987),01-Jan-1987,Comedy,237
239,Sneakers (1992),01-Jan-1992,Crime|Drama|Sci-Fi,238
240,Beavis and Butt-head Do America (1996),20-Dec-1996,Animation|Comedy,239
241,"Last of the Mohicans, The (1992)",01-Jan-1992,Action|Romance|War,240
242,Kolya (1996),24-Jan-1997,Comedy,241
243,Jungle2Jungle (1997),07-Mar-1997,Children's|Comedy,242
244,Smilla's Sense of Snow (1997),14-Mar-1997,Action|Drama|Thriller,243
245,"Devil's Own, The (1997)",26-Mar-1997,Action|Drama|Thriller|War,244
246,Chasing Amy (1997),01-Jan-1997,Drama|Romance,245
247,Turbo: A Power Rangers Movie (1997),28-Mar-1997,Action|Adventure|Children's,246
248,Grosse Pointe Blank (1997),11-Apr-1997,Comedy|Crime,247
249,Austin Powers: International Man of Mystery (1997),02-May-1997,Comedy,248
250,"Fifth Element, The (1997)",09-May-1997,Action|Sci-Fi,249
251,Shall We Dance? (1996),11-Jul-1997,Comedy,250
252,"Lost World: Jurassic Park, The (1997)",23-May-1997,Action|Adventure|Sci-Fi|Thriller,251
253,"Pillow Book, The (1995)",13-Jun-1997,Drama|Romance,252
254,Batman & Robin (1997),20-Jun-1997,Action|Adventure|Crime,253
255,My Best Friend's Wedding (1997),20-Jun-1997,Comedy|Romance,254
256,When the Cats Away (Chacun cherche son chat) (1996),20-Jun-1997,Comedy|Romance,255
257,Men in Black (1997),04-Jul-1997,Action|Adventure|Comedy|Sci-Fi,256
258,Contact (1997),11-Jul-1997,Drama|Sci-Fi,257
259,George of the Jungle (1997),01-Jan-1997,Children's|Comedy,258
260,Event Horizon (1997),01-Jan-1997,Action|Mystery|Sci-Fi|Thriller,259
261,Air Bud (1997),01-Aug-1997,Children's|Comedy,260
262,In the Company of Men (1997),01-Aug-1997,Drama,261
263,Steel (1997),15-Aug-1997,Action,262
264,Mimic (1997),22-Aug-1997,Sci-Fi|Thriller,263
265,"Hunt for Red October, The (1990)",01-Jan-1990,Action|Thriller,264
266,Kull the Conqueror (1997),29-Aug-1997,Action|Adventure,265
267,unknown,,unknown,266
268,Chasing Amy (1997),01-Jan-1997,Drama|Romance,267
269,"Full Monty, The (1997)",01-Jan-1997,Comedy,268
270,Gattaca (1997),01-Jan-1997,Drama|Sci-Fi|Thriller,269
271,Starship Troopers (1997),01-Jan-1997,Action|Adventure|Sci-Fi|War,270
272,Good Will Hunting (1997),01-Jan-1997,Drama,271
273,Heat (1995),01-Jan-1995,Action|Crime|Thriller,272
274,Sabrina (1995),01-Jan-1995,Comedy|Romance,273
275,Sense and Sensibility (1995),01-Jan-1995,Drama|Romance,274
276,Leaving Las Vegas (1995),01-Jan-1995,Drama|Romance,275
277,Restoration (1995),01-Jan-1995,Drama,276
278,Bed of Roses (1996),01-Jan-1996,Drama|Romance,277
279,Once Upon a Time... When We Were Colored (1995),01-Jan-1995,Drama,278
280,Up Close and Personal (1996),01-Mar-1996,Drama|Romance,279
281,"River Wild, The (1994)",01-Jan-1994,Action|Thriller,280
282,"Time to Kill, A (1996)",13-Jul-1996,Drama,281
283,Emma (1996),02-Aug-1996,Drama|Romance,282
284,Tin Cup (1996),16-Aug-1996,Comedy|Romance,283
285,Secrets & Lies (1996),04-Oct-1996,Drama,284
286,"English Patient, The (1996)",15-Nov-1996,Drama|Romance|War,285
287,Marvin's Room (1996),18-Dec-1996,Drama,286
288,Scream (1996),20-Dec-1996,Horror|Thriller,287
289,Evita (1996),25-Dec-1996,Drama|Musical,288
290,Fierce Creatures (1997),10-Jan-1997,Comedy,289
291,Absolute Power (1997),14-Feb-1997,Mystery|Thriller,290
292,Rosewood (1997),21-Feb-1997,Drama,291
293,Donnie Brasco (1997),28-Feb-1997,Crime|Drama,292
294,Liar Liar (1997),21-Mar-1997,Comedy,293
295,Breakdown (1997),02-May-1997,Action|Thriller,294
296,"Promesse, La (1996)",16-May-1997,Drama,295
297,Ulee's Gold (1997),01-Jan-1997,Drama,296
298,Face/Off (1997),27-Jun-1997,Action|Sci-Fi|Thriller,297
299,Hoodlum (1997),22-Aug-1997,Crime|Drama|Film-Noir,298
300,Air Force One (1997),01-Jan-1997,Action|Thriller,299
301,In & Out (1997),19-Sep-1997,Comedy,300
302,L.A. Confidential (1997),01-Jan-1997,Crime|Film-Noir|Mystery|Thriller,301
303,Ulee's Gold (1997),01-Jan-1997,Drama,302
304,Fly Away Home (1996),13-Sep-1996,Adventure|Children's,303
305,"Ice Storm, The (1997)",01-Jan-1997,Drama,304
306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",01-Jan-1997,Drama|Romance,305
307,"Devil's Advocate, The (1997)",01-Jan-1997,Crime|Horror|Mystery|Thriller,306
308,FairyTale: A True Story (1997),01-Jan-1997,Children's|Drama|Fantasy,307
309,Deceiver (1997),01-Jan-1997,Crime,308
310,"Rainmaker, The (1997)",01-Jan-1997,Drama,309
311,"Wings of the Dove, The (1997)",01-Jan-1997,Drama|Romance|Thriller,310
312,Midnight in the Garden of Good and Evil (1997),01-Jan-1997,Comedy|Crime|Drama|Mystery,311
313,Titanic (1997),01-Jan-1997,Action|Drama|Romance,312
314,3 Ninjas: High Noon At Mega Mountain (1998),01-Jan-1997,Action|Children's,313
315,Apt Pupil (1998),23-Oct-1998,Drama|Thriller,314
316,As Good As It Gets (1997),23-Dec-1997,Comedy|Drama,315
317,In the Name of the Father (1993),01-Jan-1993,Drama,316
318,Schindler's List (1993),01-Jan-1993,Drama|War,317
319,Everyone Says I Love You (1996),06-Dec-1996,Comedy|Musical|Romance,318
320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),06-Dec-1996,Documentary,319
321,Mother (1996),25-Dec-1996,Comedy,320
322,Murder at 1600 (1997),18-Apr-1997,Mystery|Thriller,321
323,Dante's Peak (1997),07-Feb-1997,Action|Thriller,322
324,Lost Highway (1997),21-Feb-1997,Mystery,323
325,Crash (1996),21-Mar-1997,Drama|Thriller,324
