user_id,age,sex,occupation,zip_code,train_id
1,24,M,technician,85711,0
2,53,F,other,94043,1
3,23,M,writer,32067,2
4,24,M,technician,43537,3
5,33,F,other,15213,4
6,42,M,executive,98101,5
7,57,M,administrator,91344,6
8,36,M,administrator,05201,7
9,29,M,student,01002,8
10,53,M,lawyer,90703,9
11,39,F,other,30329,10
12,28,F,other,06405,11
13,47,M,educator,29206,12
14,45,M,scientist,55106,13
15,49,F,educator,97301,14
16,21,M,entertainment,10309,15
17,30,M,programmer,06355,16
18,35,F,other,37212,17
19,40,M,librarian,02138,18
20,42,F,homemaker,95660,19
21,26,M,writer,30068,20
22,25,M,writer,40206,21
23,30,F,artist,48197,22
24,21,F,artist,94533,23
25,39,M,engineer,55107,24
26,49,M,engineer,21044,25
27,40,F,librarian,30030,26
28,32,M,writer,55369,27
29,41,M,programmer,94043,28
30,7,M,student,55436,29
31,24,M,artist,10003,30
32,28,F,student,78741,31
33,23,M,student,27510,32
34,38,F,administrator,42141,33
35,20,F,homemaker,42459,34
36,19,F,student,93117,35
37,23,M,student,55105,36
38,28,F,other,54467,37
39,41,M,entertainment,01040,38
40,38,M,scientist,27514,39
41,33,M,engineer,80525,40
42,30,M,administrator,17870,41
43,29,F,librarian,20854,42
44,26,M,technician,46260,43
45,29,M,programmer,50233,44
46,27,F,marketing,46538,45
47,53,M,marketing,07102,46
48,45,M,administrator,12550,47
49,23,F,student,76111,48
50,21,M,writer,52245,49
51,28,M,educator,16509,50
52,18,F,student,55105,51
53,26,M,programmer,55414,52
54,22,M,executive,66315,53
55,37,M,programmer,01331,54
56,25,M,librarian,46260,55
57,16,M,none,84010,56
58,27,M,programmer,52246,57
59,49,M,educator,08403,58
60,50,M,healthcare,06472,59
61,36,M,engineer,30040,60
62,27,F,administrator,97214,61
63,31,M,marketing,75240,62
64,32,M,educator,43202,63
65,51,F,educator,48118,64
66,23,M,student,80521,65
67,17,M,student,60402,66
68,19,M,student,22904,67
69,24,M,engineer,55337,68
70,27,M,engineer,60067,69
71,39,M,scientist,98034,70
72,48,F,administrator,73034,71
73,24,M,student,41850,72
74,39,M,scientist,T8H1N,73
75,24,M,entertainment,08816,74
76,20,M,student,02215,75
77,30,M,technician,29379,76
78,26,M,administrator,61801,77
79,39,F,administrator,03755,78
80,34,F,administrator,52241,79
81,21,M,student,21218,80
82,50,M,programmer,22902,81
83,40,M,other,44133,82
84,32,M,executive,55369,83
85,51,M,educator,20003,84
86,26,M,administrator,46005,85
87,47,M,administrator,89503,86
88,49,F,librarian,11701,87
89,43,F,administrator,68106,88
90,60,M,educator,78155,89
91,55,M,marketing,01913,90
92,32,M,entertainment,80525,91
93,48,M,executive,23112,92
94,26,M,student,71457,93
95,31,M,administrator,10707,94
96,25,F,artist,75206,95
97,43,M,artist,98006,96
98,49,F,executive,90291,97
99,20,M,student,63129,98
100,36,M,executive,90254,99
101,15,M,student,05146,100
102,38,M,programmer,30220,101
103,26,M,student,55108,102
104,27,M,student,55108,103
105,24,M,engineer,94043,104
106,61,M,retired,55125,105
107,39,M,scientist,60466,106
108,44,M,educator,63130,107
109,29,M,other,55423,108
110,19,M,student,77840,109
111,57,M,engineer,90630,110
112,30,M,salesman,60613,111
113,47,M,executive,95032,112
114,27,M,programmer,75013,113
115,31,M,engineer,17110,114
116,40,M,healthcare,97232,115
117,20,M,student,16125,116
118,21,M,administrator,90210,117
119,32,M,programmer,67401,118
120,47,F,other,06260,119
121,54,M,librarian,99603,120
122,32,F,writer,22206,121
123,48,F,artist,20008,122
124,34,M,student,60615,123
125,30,M,lawyer,22202,124
126,28,F,lawyer,20015,125
127,33,M,none,73439,126
128,24,F,marketing,20009,127
129,36,F,marketing,07039,128
130,20,M,none,60115,129
131,59,F,administrator,15237,130
132,24,M,other,94612,131
133,53,M,engineer,78602,132
134,31,M,programmer,80236,133
135,23,M,student,38401,134
136,51,M,other,97365,135
137,50,M,educator,84408,136
138,46,M,doctor,53211,137
139,20,M,student,08904,138
140,30,F,student,32250,139
141,49,M,programmer,36117,140
142,13,M,other,48118,141
143,42,M,technician,08832,142
144,53,M,programmer,20910,143
145,31,M,entertainment,V3N4P,144
146,45,M,artist,83814,145
147,40,F,librarian,02143,146
148,33,M,engineer,97006,147
149,35,F,marketing,17325,148
150,20,F,artist,02139,149
151,38,F,administrator,48103,150
152,33,F,educator,68767,151
153,25,M,student,60641,152
154,25,M,student,53703,153
155,32,F,other,11217,154
156,25,M,educator,08360,155
157,57,M,engineer,70808,156
158,50,M,educator,27606,157
159,23,F,student,55346,158
160,27,M,programmer,66215,159
161,50,M,lawyer,55104,160
162,25,M,artist,15610,161
163,49,M,administrator,97212,162
164,47,M,healthcare,80123,163
165,20,F,other,53715,164
166,47,M,educator,55113,165
167,37,M,other,L9G2B,166
168,48,M,other,80127,167
169,52,F,other,53705,168
170,53,F,healthcare,30067,169
171,48,F,educator,78750,170
172,55,M,marketing,22207,171
173,56,M,other,22306,172
174,30,F,administrator,52302,173
175,26,F,scientist,21911,174
176,28,M,scientist,07030,175
177,20,M,programmer,19104,176
178,26,M,other,49512,177
179,15,M,entertainment,20755,178
180,22,F,administrator,60202,179
181,26,M,executive,21218,180
182,36,M,programmer,33884,181
183,33,M,scientist,27708,182
184,37,M,librarian,76013,183
185,53,F,librarian,97403,184
186,39,F,executive,00000,185
187,26,M,educator,16801,186
188,42,M,student,29440,187
189,32,M,artist,95014,188
190,30,M,administrator,95938,189
191,33,M,administrator,95161,190
192,42,M,educator,90840,191
193,29,M,student,49931,192
194,38,M,administrator,02154,193
195,42,M,scientist,93555,194
196,49,M,writer,55105,195
197,55,M,technician,75094,196
198,21,F,student,55414,197
199,30,M,writer,17604,198
200,40,M,programmer,93402,199
201,27,M,writer,E2A4H,200
202,41,F,educator,60201,201
203,25,F,student,32301,202
204,52,F,librarian,10960,203
205,47,M,lawyer,06371,204
206,14,F,student,53115,205
207,39,M,marketing,92037,206
208,43,M,engineer,01720,207
209,33,F,educator,85710,208
210,39,M,engineer,03060,209
211,66,M,salesman,32605,210
212,49,F,educator,61401,211
213,33,M,executive,55345,212
214,26,F,librarian,11231,213
215,35,M,programmer,63033,214
216,22,M,engineer,02215,215
217,22,M,other,11727,216
218,37,M,administrator,06513,217
219,32,M,programmer,43212,218
220,30,M,librarian,78205,219
221,19,M,student,20685,220
222,29,M,programmer,27502,221
223,19,F,student,47906,222
224,31,F,educator,43512,223
225,51,F,administrator,58202,224
226,28,M,student,92103,225
227,46,M,executive,60659,226
228,21,F,student,22003,227
229,29,F,librarian,22903,228
230,28,F,student,14476,229
231,48,M,librarian,01080,230
232,45,M,scientist,99709,231
233,38,M,engineer,98682,232
234,60,M,retired,94702,233
235,37,M,educator,22973,234
236,44,F,writer,53214,235
237,49,M,administrator,63146,236
238,42,F,administrator,44124,237
239,39,M,artist,95628,238
240,23,F,educator,20784,239
241,26,F,student,20001,240
242,33,M,educator,31404,241
243,33,M,educator,60201,242
244,28,M,technician,80525,243
245,22,M,student,55109,244
246,19,M,student,28734,245
247,28,M,engineer,20770,246
248,25,M,student,37235,247
249,25,M,student,84103,248
250,29,M,executive,95110,249
251,28,M,doctor,85032,250
252,42,M,engineer,07733,251
253,26,F,librarian,22903,252
254,44,M,educator,42647,253
255,23,M,entertainment,07029,254
256,35,F,none,39042,255
257,17,M,student,77005,256
258,19,F,student,77801,257
259,21,M,student,48823,258
260,40,F,artist,89801,259
261,28,M,administrator,85202,260
262,19,F,student,78264,261
263,41,M,programmer,55346,262
264,36,F,writer,90064,263
265,26,M,executive,84601,264
266,62,F,administrator,78756,265
267,23,M,engineer,83716,266
268,24,M,engineer,19422,267
269,31,F,librarian,43201,268
270,18,F,student,63119,269
271,51,M,engineer,22932,270
272,33,M,scientist,53706,271
273,50,F,other,10016,272
274,20,F,student,55414,273
275,38,M,engineer,92064,274
276,21,M,student,95064,275
277,35,F,administrator,55406,276
278,37,F,librarian,30033,277
279,33,M,programmer,85251,278
280,30,F,librarian,22903,279
281,15,F,student,06059,280
282,22,M,administrator,20057,281
283,28,M,programmer,55305,282
284,40,M,executive,92629,283
285,25,M,programmer,53713,284
286,27,M,student,15217,285
287,21,M,salesman,31211,286
288,34,M,marketing,23226,287
289,11,M,none,94619,288
290,40,M,engineer,93550,289
291,19,M,student,44106,290
292,35,F,programmer,94703,291
293,24,M,writer,60804,292
294,34,M,technician,92110,293
295,31,M,educator,50325,294
296,43,F,administrator,16803,295
297,29,F,educator,98103,296
298,44,M,executive,01581,297
299,29,M,doctor,63108,298
300,26,F,programmer,55106,299
301,24,M,student,55439,300
302,42,M,educator,77904,301
303,19,M,student,14853,302
304,22,F,student,71701,303
305,23,M,programmer,94086,304
306,45,M,other,73132,305
307,25,M,student,55454,306
308,60,M,retired,95076,307
309,40,M,scientist,70802,308
310,37,M,educator,91711,309
311,32,M,technician,73071,310
312,48,M,other,02110,311
313,41,M,marketing,60035,312
314,20,F,student,08043,313
315,31,M,educator,18301,314
316,43,F,other,77009,315
317,22,M,administrator,13210,316
318,65,M,retired,06518,317
319,38,M,programmer,22030,318
320,19,M,student,24060,319
321,49,F,educator,55413,320
322,20,M,student,50613,321
323,21,M,student,19149,322
324,21,F,student,02176,323
325,48,M,technician,02139,324
326,41,M,administrator,15235,325
327,22,M,student,11101,326
328,51,M,administrator,06779,327
329,48,M,educator,01720,328
330,35,F,educator,33884,329
331,33,M,entertainment,91344,330
332,20,M,student,40504,331
333,47,M,other,V0R2M,332
334,32,M,librarian,30002,333
335,45,M,executive,33775,334
336,23,M,salesman,42101,335
337,37,M,scientist,10522,336
338,39,F,librarian,59717,337
339,35,M,lawyer,37901,338
340,46,M,engineer,80123,339
341,17,F,student,44405,340
342,25,F,other,98006,341
343,43,M,engineer,30093,342
344,30,F,librarian,94117,343
345,28,F,librarian,94143,344
346,34,M,other,76059,345
347,18,M,student,90210,346
348,24,F,student,45660,347
349,68,M,retired,61455,348
350,32,M,student,97301,349
351,61,M,educator,49938,350
352,37,F,programmer,55105,351
353,25,M,scientist,28480,352
354,29,F,librarian,48197,353
355,25,M,student,60135,354
356,32,F,homemaker,92688,355
357,26,M,executive,98133,356
358,40,M,educator,10022,357
359,22,M,student,61801,358
360,51,M,other,98027,359
361,22,M,student,44074,360
362,35,F,homemaker,85233,361
363,20,M,student,87501,362
364,63,M,engineer,01810,363
365,29,M,lawyer,20009,364
366,20,F,student,50670,365
367,17,M,student,37411,366
368,18,M,student,92113,367
369,24,M,student,91335,368
370,52,M,writer,08534,369
371,36,M,engineer,99206,370
372,25,F,student,66046,371
373,24,F,other,55116,372
374,36,M,executive,78746,373
375,17,M,entertainment,37777,374
376,28,F,other,10010,375
377,22,M,student,18015,376
378,35,M,student,02859,377
379,44,M,programmer,98117,378
380,32,M,engineer,55117,379
381,33,M,artist,94608,380
382,45,M,engineer,01824,381
383,42,M,administrator,75204,382
384,52,M,programmer,45218,383
385,36,M,writer,10003,384
386,36,M,salesman,43221,385
387,33,M,entertainment,37412,386
388,31,M,other,36106,387
389,44,F,writer,83702,388
390,42,F,writer,85016,389
391,23,M,student,84604,390
392,52,M,writer,59801,391
393,19,M,student,83686,392
394,25,M,administrator,96819,393
395,43,M,other,44092,394
396,57,M,engineer,94551,395
397,17,M,student,27514,396
398,40,M,other,60008,397
399,25,M,other,92374,398
400,33,F,administrator,78213,399
401,46,F,healthcare,84107,400
402,30,M,engineer,95129,401
403,37,M,other,06811,402
404,29,F,programmer,55108,403
405,22,F,healthcare,10019,404
406,52,M,educator,93109,405
407,29,M,engineer,03261,406
408,23,M,student,61755,407
409,48,M,administrator,98225,408
410,30,F,artist,94025,409
411,34,M,educator,44691,410
412,25,M,educator,15222,411
413,55,M,educator,78212,412
414,24,M,programmer,38115,413
415,39,M,educator,85711,414
416,20,F,student,92626,415
417,27,F,other,48103,416
418,55,F,none,21206,417
419,37,M,lawyer,43215,418
420,53,M,educator,02140,419
421,38,F,programmer,55105,420
422,26,M,entertainment,94533,421
423,64,M,other,91606,422
424,36,F,marketing,55422,423
425,19,M,student,58644,424
426,55,M,educator,01602,425
427,51,M,doctor,85258,426
428,28,M,student,55414,427
429,27,M,student,29205,428
430,38,M,scientist,98199,429
431,24,M,marketing,92629,430
432,22,M,entertainment,50311,431
433,27,M,artist,11211,432
434,16,F,student,49705,433
435,24,M,engineer,60007,434
436,30,F,administrator,17345,435
437,27,F,other,20009,436
438,51,F,administrator,43204,437
439,23,F,administrator,20817,438
440,30,M,other,48076,439
441,50,M,technician,55013,440
442,22,M,student,85282,441
443,35,M,salesman,33308,442
444,51,F,lawyer,53202,443
445,21,M,writer,92653,444
446,57,M,educator,60201,445
447,30,M,administrator,55113,446
448,23,M,entertainment,10021,447
449,23,M,librarian,55021,448
450,35,F,educator,11758,449
451,16,M,student,48446,450
452,35,M,administrator,28018,451
453,18,M,student,06333,452
454,57,M,other,97330,453
455,48,M,administrator,83709,454
456,24,M,technician,31820,455
457,33,F,salesman,30011,456
458,47,M,technician,Y1A6B,457
459,22,M,student,29201,458
460,44,F,other,60630,459
461,15,M,student,98102,460
462,19,F,student,02918,461
463,48,F,healthcare,75218,462
464,60,M,writer,94583,463
465,32,M,other,05001,464
466,22,M,student,90804,465
467,29,M,engineer,91201,466
468,28,M,engineer,02341,467
469,60,M,educator,78628,468
470,24,M,programmer,10021,469
471,10,M,student,77459,470
472,24,M,student,87544,471
473,29,M,student,94708,472
474,51,M,executive,93711,473
475,30,M,programmer,75230,474
476,28,M,student,60440,475
477,23,F,student,02125,476
478,29,M,other,10019,477
479,30,M,educator,55409,478
480,57,M,retired,98257,479
481,73,M,retired,37771,480
482,18,F,student,40256,481
483,29,M,scientist,43212,482
484,27,M,student,21208,483
485,44,F,educator,95821,484
486,39,M,educator,93101,485
487,22,M,engineer,92121,486
488,48,M,technician,21012,487
489,55,M,other,45218,488
490,29,F,artist,V5A2B,489
491,43,F,writer,53711,490
492,57,M,educator,94618,491
493,22,M,engineer,60090,492
494,38,F,administrator,49428,493
495,29,M,engineer,03052,494
496,21,F,student,55414,495
497,20,M,student,50112,496
498,26,M,writer,55408,497
499,42,M,programmer,75006,498
500,28,M,administrator,94305,499
501,22,M,student,10025,500
502,22,M,student,23092,501
503,50,F,writer,27514,502
504,40,F,writer,92115,503
505,27,F,other,20657,504
506,46,M,programmer,03869,505
507,18,F,writer,28450,506
508,27,M,marketing,19382,507
509,23,M,administrator,10011,508
510,34,M,other,98038,509
511,22,M,student,21250,510
512,29,M,other,20090,511
513,43,M,administrator,26241,512
514,27,M,programmer,20707,513
515,53,M,marketing,49508,514
516,53,F,librarian,10021,515
517,24,M,student,55454,516
518,49,F,writer,99709,517
519,22,M,other,55320,518
520,62,M,healthcare,12603,519
521,19,M,student,02146,520
522,36,M,engineer,55443,521
523,50,F,administrator,04102,522
524,56,M,educator,02159,523
525,27,F,administrator,19711,524
526,30,M,marketing,97124,525
527,33,M,librarian,12180,526
528,18,M,student,55104,527
529,47,F,administrator,44224,528
530,29,M,engineer,94040,529
531,30,F,salesman,97408,530
532,20,M,student,92705,531
533,43,M,librarian,02324,532
534,20,M,student,05464,533
535,45,F,educator,80302,534
536,38,M,engineer,30078,535
537,36,M,engineer,22902,536
538,31,M,scientist,21010,537
539,53,F,administrator,80303,538
540,28,M,engineer,91201,539
541,19,F,student,84302,540
542,21,M,student,60515,541
543,33,M,scientist,95123,542
544,44,F,other,29464,543
545,27,M,technician,08052,544
546,36,M,executive,22911,545
547,50,M,educator,14534,546
548,51,M,writer,95468,547
549,42,M,scientist,45680,548
550,16,F,student,95453,549
551,25,M,programmer,55414,550
552,45,M,other,68147,551
553,58,M,educator,62901,552
554,32,M,scientist,62901,553
555,29,F,educator,23227,554
556,35,F,educator,30606,555
557,30,F,writer,11217,556
558,56,F,writer,63132,557
559,69,M,executive,10022,558
560,32,M,student,10003,559
561,23,M,engineer,60005,560
562,54,F,administrator,20879,561
563,39,F,librarian,32707,562
564,65,M,retired,94591,563
565,40,M,student,55422,564
566,20,M,student,14627,565
567,24,M,entertainment,10003,566
568,39,M,educator,01915,567
569,34,M,educator,91903,568
570,26,M,educator,14627,569
571,34,M,artist,01945,570
572,51,M,educator,20003,571
573,68,M,retired,48911,572
574,56,M,educator,53188,573
575,33,M,marketing,46032,574
576,48,M,executive,98281,575
577,36,F,student,77845,576
578,31,M,administrator,M7A1A,577
579,32,M,educator,48103,578
580,16,M,student,17961,579
581,37,M,other,94131,580
582,17,M,student,93003,581
583,44,M,engineer,29631,582
584,25,M,student,27511,583
585,69,M,librarian,98501,584
586,20,M,student,79508,585
587,26,M,other,14216,586
588,18,F,student,93063,587
589,21,M,lawyer,90034,588
590,50,M,educator,82435,589
591,57,F,librarian,92093,590
592,18,M,student,97520,591
593,31,F,educator,68767,592
594,46,M,educator,M4J2K,593
595,25,M,programmer,31909,594
596,20,M,artist,77073,595
597,23,M,other,84116,596
598,40,F,marketing,43085,597
599,22,F,student,R3T5K,598
600,34,M,programmer,02320,599
601,19,F,artist,99687,600
602,47,F,other,34656,601
603,21,M,programmer,47905,602
604,39,M,educator,11787,603
605,33,M,engineer,33716,604
606,28,M,programmer,63044,605
607,49,F,healthcare,02154,606
608,22,M,other,10003,607
609,13,F,student,55106,608
610,22,M,student,21227,609
611,46,M,librarian,77008,610
612,36,M,educator,79070,611
613,37,F,marketing,29678,612
614,54,M,educator,80227,613
615,38,M,educator,27705,614
616,55,M,scientist,50613,615
617,27,F,writer,11201,616
618,15,F,student,44212,617
619,17,M,student,44134,618
620,18,F,writer,81648,619
621,17,M,student,60402,620
622,25,M,programmer,14850,621
623,50,F,educator,60187,622
624,19,M,student,30067,623
625,27,M,programmer,20723,624
626,23,M,scientist,19807,625
627,24,M,engineer,08034,626
628,13,M,none,94306,627
629,46,F,other,44224,628
630,26,F,healthcare,55408,629
631,18,F,student,38866,630
632,18,M,student,55454,631
633,35,M,programmer,55414,632
634,39,M,engineer,T8H1N,633
635,22,M,other,23237,634
636,47,M,educator,48043,635
637,30,M,other,74101,636
638,45,M,engineer,01940,637
639,42,F,librarian,12065,638
640,20,M,student,61801,639
641,24,M,student,60626,640
642,18,F,student,95521,641
643,39,M,scientist,55122,642
644,51,M,retired,63645,643
645,27,M,programmer,53211,644
646,17,F,student,51250,645
647,40,M,educator,45810,646
648,43,M,engineer,91351,647
649,20,M,student,39762,648
650,42,M,engineer,83814,649
651,65,M,retired,02903,650
652,35,M,other,22911,651
653,31,M,executive,55105,652
654,27,F,student,78739,653
655,50,F,healthcare,60657,654
656,48,M,educator,10314,655
657,26,F,none,78704,656
658,33,M,programmer,92626,657
659,31,M,educator,54248,658
660,26,M,student,77380,659
661,28,M,programmer,98121,660
662,55,M,librarian,19102,661
663,26,M,other,19341,662
664,30,M,engineer,94115,663
665,25,M,administrator,55412,664
666,44,M,administrator,61820,665
667,35,M,librarian,01970,666
668,29,F,writer,10016,667
669,37,M,other,20009,668
670,30,M,technician,21114,669
671,21,M,programmer,91919,670
672,54,F,administrator,90095,671
673,51,M,educator,22906,672
674,13,F,student,55337,673
675,34,M,other,28814,674
676,30,M,programmer,32712,675
677,20,M,other,99835,676
678,50,M,educator,61462,677
679,20,F,student,54302,678
680,33,M,lawyer,90405,679
681,44,F,marketing,97208,680
682,23,M,programmer,55128,681
683,42,M,librarian,23509,682
684,28,M,student,55414,683
685,32,F,librarian,55409,684
686,32,M,educator,26506,685
687,31,F,healthcare,27713,686
688,37,F,administrator,60476,687
689,25,M,other,45439,688
690,35,M,salesman,63304,689
691,34,M,educator,60089,690
692,34,M,engineer,18053,691
693,43,F,healthcare,85210,692
694,60,M,programmer,06365,693
695,26,M,writer,38115,694
696,55,M,other,94920,695
697,25,M,other,77042,696
698,28,F,programmer,06906,697
699,44,M,other,96754,698
700,17,M,student,76309,699
701,51,F,librarian,56321,700
702,37,M,other,89104,701
703,26,M,educator,49512,702
704,51,F,librarian,91105,703
705,21,F,student,54494,704
706,23,M,student,55454,705
707,56,F,librarian,19146,706
708,26,F,homemaker,96349,707
709,21,M,other,N4T1A,708
710,19,M,student,92020,709
711,22,F,student,15203,710
712,22,F,student,54901,711
713,42,F,other,07204,712
714,26,M,engineer,55343,713
715,21,M,technician,91206,714
716,36,F,administrator,44265,715
717,24,M,technician,84105,716
718,42,M,technician,64118,717
719,37,F,other,V0R2H,718
720,49,F,administrator,16506,719
721,24,F,entertainment,11238,720
722,50,F,homemaker,17331,721
723,26,M,executive,94403,722
724,31,M,executive,40243,723
725,21,M,student,91711,724
726,25,F,administrator,80538,725
727,25,M,student,78741,726
728,58,M,executive,94306,727
729,19,M,student,56567,728
730,31,F,scientist,32114,729
731,41,F,educator,70403,730
732,28,F,other,98405,731
733,44,F,other,60630,732
734,25,F,other,63108,733
735,29,F,healthcare,85719,734
736,48,F,writer,94618,735
737,30,M,programmer,98072,736
738,35,M,technician,95403,737
739,35,M,technician,73162,738
740,25,F,educator,22206,739
741,25,M,writer,63108,740
742,35,M,student,29210,741
743,31,M,programmer,92660,742
744,35,M,marketing,47024,743
745,42,M,writer,55113,744
746,25,M,engineer,19047,745
747,19,M,other,93612,746
748,28,M,administrator,94720,747
749,33,M,other,80919,748
750,28,M,administrator,32303,749
751,24,F,other,90034,750
752,60,M,retired,21201,751
753,56,M,salesman,91206,752
754,59,F,librarian,62901,753
755,44,F,educator,97007,754
756,30,F,none,90247,755
757,26,M,student,55104,756
758,27,M,student,53706,757
759,20,F,student,68503,758
760,35,F,other,14211,759
761,17,M,student,97302,760
762,32,M,administrator,95050,761
763,27,M,scientist,02113,762
764,27,F,educator,62903,763
765,31,M,student,33066,764
766,42,M,other,10960,765
767,70,M,engineer,00000,766
768,29,M,administrator,12866,767
769,39,M,executive,06927,768
770,28,M,student,14216,769
771,26,M,student,15232,770
772,50,M,writer,27105,771
773,20,M,student,55414,772
774,30,M,student,80027,773
775,46,M,executive,90036,774
776,30,M,librarian,51157,775
777,63,M,programmer,01810,776
778,34,M,student,01960,777
779,31,M,student,K7L5J,778
780,49,M,programmer,94560,779
781,20,M,student,48825,780
782,21,F,artist,33205,781
783,30,M,marketing,77081,782
784,47,M,administrator,91040,783
785,32,M,engineer,23322,784
786,36,F,engineer,01754,785
787,18,F,student,98620,786
788,51,M,administrator,05779,787
789,29,M,other,55420,788
790,27,M,technician,80913,789
791,31,M,educator,20064,790
792,40,M,programmer,12205,791
793,22,M,student,85281,792
794,32,M,educator,57197,793
795,30,M,programmer,08610,794
796,32,F,writer,33755,795
797,44,F,other,62522,796
798,40,F,writer,64131,797
799,49,F,administrator,19716,798
800,25,M,programmer,55337,799
801,22,M,writer,92154,800
802,35,M,administrator,34105,801
803,70,M,administrator,78212,802
804,39,M,educator,61820,803
805,27,F,other,20009,804
806,27,M,marketing,11217,805
807,41,F,healthcare,93555,806
808,45,M,salesman,90016,807
809,50,F,marketing,30803,808
810,55,F,other,80526,809
811,40,F,educator,73013,810
812,22,M,technician,76234,811
813,14,F,student,02136,812
814,30,M,other,12345,813
815,32,M,other,28806,814
816,34,M,other,20755,815
817,19,M,student,60152,816
818,28,M,librarian,27514,817
819,59,M,administrator,40205,818
820,22,M,student,37725,819
821,37,M,engineer,77845,820
822,29,F,librarian,53144,821
823,27,M,artist,50322,822
824,31,M,other,15017,823
825,44,M,engineer,05452,824
826,28,M,artist,77048,825
827,23,F,engineer,80228,826
828,28,M,librarian,85282,827
829,48,M,writer,80209,828
830,46,M,programmer,53066,829
831,21,M,other,33765,830
832,24,M,technician,77042,831
833,34,M,writer,90019,832
834,26,M,other,64153,833
835,44,F,executive,11577,834
836,44,M,artist,10018,835
837,36,F,artist,55409,836
838,23,M,student,01375,837
839,38,F,entertainment,90814,838
840,39,M,artist,55406,839
841,45,M,doctor,47401,840
842,40,M,writer,93055,841
843,35,M,librarian,44212,842
844,22,M,engineer,95662,843
845,64,M,doctor,97405,844
846,27,M,lawyer,47130,845
847,29,M,student,55417,846
848,46,M,engineer,02146,847
849,15,F,student,25652,848
850,34,M,technician,78390,849
851,18,M,other,29646,850
852,46,M,administrator,94086,851
853,49,M,writer,40515,852
854,29,F,student,55408,853
855,53,M,librarian,04988,854
856,43,F,marketing,97215,855
857,35,F,administrator,V1G4L,856
858,63,M,educator,09645,857
859,18,F,other,06492,858
860,70,F,retired,48322,859
861,38,F,student,14085,860
862,25,M,executive,13820,861
863,17,M,student,60089,862
864,27,M,programmer,63021,863
865,25,M,artist,11231,864
866,45,M,other,60302,865
867,24,M,scientist,92507,866
868,21,M,programmer,55303,867
869,30,M,student,10025,868
870,22,M,student,65203,869
871,31,M,executive,44648,870
872,19,F,student,74078,871
873,48,F,administrator,33763,872
874,36,M,scientist,37076,873
875,24,F,student,35802,874
876,41,M,other,20902,875
877,30,M,other,77504,876
878,50,F,educator,98027,877
879,33,F,administrator,55337,878
880,13,M,student,83702,879
881,39,M,marketing,43017,880
882,35,M,engineer,40503,881
883,49,M,librarian,50266,882
884,44,M,engineer,55337,883
885,30,F,other,95316,884
886,20,M,student,61820,885
887,14,F,student,27249,886
888,41,M,scientist,17036,887
889,24,M,technician,78704,888
890,32,M,student,97301,889
891,51,F,administrator,03062,890
892,36,M,other,45243,891
893,25,M,student,95823,892
894,47,M,educator,74075,893
895,31,F,librarian,32301,894
896,28,M,writer,91505,895
897,30,M,other,33484,896
898,23,M,homemaker,61755,897
899,32,M,other,55116,898
900,60,M,retired,18505,899
901,38,M,executive,L1V3W,900
902,45,F,artist,97203,901
903,28,M,educator,20850,902
904,17,F,student,61073,903
905,27,M,other,30350,904
906,45,M,librarian,70124,905
907,25,F,other,80526,906
908,44,F,librarian,68504,907
909,50,F,educator,53171,908
910,28,M,healthcare,29301,909
911,37,F,writer,53210,910
912,51,M,other,06512,911
913,27,M,student,76201,912
914,44,F,other,08105,913
915,50,M,entertainment,60614,914
916,27,M,engineer,N2L5N,915
917,22,F,student,20006,916
918,40,M,scientist,70116,917
919,25,M,other,14216,918
920,30,F,artist,90008,919
921,20,F,student,98801,920
922,29,F,administrator,21114,921
923,21,M,student,E2E3R,922
924,29,M,other,11753,923
925,18,F,salesman,49036,924
926,49,M,entertainment,01701,925
927,23,M,programmer,55428,926
928,21,M,student,55408,927
929,44,M,scientist,53711,928
930,28,F,scientist,07310,929
931,60,M,educator,33556,930
932,58,M,educator,06437,931
933,28,M,student,48105,932
934,61,M,engineer,22902,933
935,42,M,doctor,66221,934
936,24,M,other,32789,935
937,48,M,educator,98072,936
938,38,F,technician,55038,937
939,26,F,student,33319,938
940,32,M,administrator,02215,939
941,20,M,student,97229,940
942,48,F,librarian,78209,941
943,22,M,student,77841,942
